ID_IPEDS,STABBR,year,degree_bach,public,enroll_ftug,grant_federal_t
130590,CT,2010,1,0,591,506544.0
130606,CT,2010,0,1,613,1152525.0
130697,CT,2010,1,0,748,804006.0
130776,CT,2010,1,1,975,1280141.0
130794,CT,2010,1,0,1343,1186794.0
130837,DE,2010,0,0,0,
130873,DE,2010,0,0,1188,3103706.0
130907,DE,2010,0,1,605,1144749.0
130934,DE,2010,1,1,887,2448725.0
130943,DE,2010,1,1,3719,2127934.0
130989,DE,2010,1,0,105,235801.0
131061,DE,2010,0,0,34,149157.0
131098,DE,2010,1,0,503,623505.0
131113,DE,2010,1,0,396,430542.0
132268,FL,2010,0,0,920,3002245.0
132338,FL,2010,1,0,285,1085269.0
132374,FL,2010,0,1,1381,1322295.0
132408,FL,2010,1,0,57,154254.0
132471,FL,2010,1,0,625,3274185.0
132602,FL,2010,1,0,925,3907692.0
132657,FL,2010,1,0,355,321271.0
132675,FL,2010,0,1,184,323311.0
132693,FL,2010,0,1,2055,4225431.0
132709,FL,2010,1,1,4054,14599529.0
132806,FL,2010,0,0,255,617308.0
132842,FL,2010,1,0,19,73421.0
132851,FL,2010,1,1,879,2528595.0
132879,FL,2010,1,0,52,120274.0
132903,FL,2010,1,1,6050,10238569.0
132976,FL,2010,0,1,335,624937.0
133021,FL,2010,1,1,407,1056979.0
133155,FL,2010,0,1,695,971130.0
133386,FL,2010,1,1,1887,5091117.0
133465,FL,2010,1,0,54,229350.0
133492,FL,2010,1,0,500,593215.0
133508,FL,2010,1,1,1794,5735050.0
133526,FL,2010,1,0,268,1204852.0
133553,FL,2010,1,0,951,1249761.0
133650,FL,2010,1,1,2702,10454300.0
133669,FL,2010,1,1,2628,6105534.0
133702,FL,2010,1,1,1866,4518326.0
133711,FL,2010,1,0,614,885771.0
133809,FL,2010,1,0,199,341728.0
133845,FL,2010,0,0,624,1808000.0
133854,FL,2010,0,0,605,1832323.0
133863,FL,2010,0,0,581,1595585.0
133872,FL,2010,1,0,48,145541.0
133881,FL,2010,1,0,489,1048175.0
133942,FL,2010,0,0,0,
133951,FL,2010,1,1,3693,9600989.0
133960,FL,2010,0,1,121,322940.0
133979,FL,2010,1,0,464,1665810.0
133997,FL,2010,1,0,1993,8792113.0
134024,FL,2010,0,0,89,177268.0
134079,FL,2010,1,0,605,1107714.0
134097,FL,2010,1,1,5927,9365482.0
134112,FL,2010,0,0,2234,5706962.0
134130,FL,2010,1,1,6332,11826734.0
134149,FL,2010,1,0,76,300613.0
134228,FL,2010,0,0,31,72150.0
134237,FL,2010,1,0,3964,15032634.0
134291,FL,2010,0,1,503,557734.0
134307,FL,2010,0,1,111,320565.0
134343,FL,2010,1,1,700,1541736.0
134422,FL,2010,0,0,39,92035.0
134495,FL,2010,0,1,2865,9121092.0
134510,FL,2010,1,0,19,53400.0
134529,FL,2010,0,0,202,318191.0
134574,FL,2010,0,0,86,428149.0
134608,FL,2010,1,1,1761,4650927.0
134680,FL,2010,1,0,114,367735.0
134714,FL,2010,0,0,231,491357.0
134811,FL,2010,1,0,602,2174781.0
134945,FL,2010,1,0,624,1439536.0
135063,FL,2010,1,0,12,63006.0
135081,FL,2010,1,0,2815,8920649.0
135142,FL,2010,0,0,47,267900.0
135160,FL,2010,0,1,360,1194682.0
135179,FL,2010,0,1,632,655994.0
135188,FL,2010,0,1,602,1078013.0
135267,FL,2010,0,1,725,611936.0
